q.a=6|7|3|6|5|5|6|6
q1=Liệt kệ tất cả những đặc điểm liên quan đến dây \ntreo trưng bày?
q1.a1=Chất liệu bằng \nNhựa|30
q1.a2=Không dễ bị thấm \nnước|21
q1.a3=Mỗi ngăn trưng \nbày được 8 dây \nCC Sour Belt|17
q1.a4=Có 6 ngăn trưng \nbày|16
q1.a5=Dây treo trưng bày \nđược 2 hộp \nCC Sour Belt|10
q1.a6=Tổng giá trị trưng \nbày là 76,000VND|06

q2=Các hỗ trợ của phòng tiếp thị khi tung sản phẩm \nCC Sour Belt là gì?
q2.a1=Hội nghị giới thiệu \nsản phẩm trên \ntoàn quốc|27
q2.a2=Quảng cáo trên \ncác phương tiện \ntruyền thông|25
q2.a3=Thưởng nhãn \nhàng|18
q2.a4=Dây treo trưng bày \nđẹp, bắt mắt|12
q2.a5=Hàng dùng thử \ncho người bán lẻ|08
q2.a6=Áo thun cho đội \nngũ NVBH|06
q2.a7=Tờ rơi thông tin \nsản phẩm|04

q3=Khi cho khách hàng ăn thử, họ phản hồi lại rằng \nsản phẩm quá chua, không thể bán được thì bạn \nsẽ xử lí làm sao để bán được hàng?
q3.a1=Vị chua chua ngọt \nngọt rất phù hợp \nvới trẻ em|37
q3.a2=Đã được khảo sát tại \nViệt Nam và được \ntrẻ em rất yêu thích|35
q3.a3=Tạo sự khác biệt \nvề khẩu vị cho trẻ \nem|28

q4=Điều gì bạn tin chắc 1 sản phẩm Chupa Chups \nSour Belt thành công?
q4.a1=Sản phẩm chất \nlượng ,ngon, \nkhác biệt|33
q4.a2=Thương hiệu nổi \ntiếng ChupaChups|27
q4.a3=Phân phối mạnh, \nrộng khắp|12
q4.a4=Giá cả hợp lý|11
q4.a5=Được quảng cáo \nrầm rộ|09
q4.a6=Trưng bày sản \nphẩm bắt mắt, \nnổi bật|08

q5=Liệt kệ các điều kiện để NVBH được nhận \nthưởng nhãn hàng?
q5.a1=Phân phối ít nhất \n30 cửa hàng|32
q5.a2=Mỗi cửa hàng bán ít \nnhất 2 hộp \nChupaChupsSourBelt |24
q5.a3=Có trưng bày dây \ntreo theo đúng \nhướng dẫn|21
q5.a4=Có chụp hình \ntrưng bày lên hệ \nthống.|13
q5.a5=Đạt mục tiêu phân \nphối trong thời \ngian đề ra.|10

q6=Theo bạn, tại sao công ty tung sản phẩm \nSour belt?
q6.a1=Phục vụ nhu cầu \nđa dạng của trẻ \nem|30
q6.a2=Giúp cửa hàng \ntăng doanh số|25
q6.a3=Giúp bạn có thu \nnhập tốt hơn|22
q6.a4=Giúp bạn hoàn \nthành tốt chỉ tiêu|13
q6.a5=Giúp công ty khai \nthác  ngành hàng \nmới|10

q7=Theo bạn, những yếu tố nào quyết định sự \nthành công khi bán một sản phẩm mới cho \nkhách hàng?
q7.a1=Sự tự tin của \nNVBH|22
q7.a2=Thông tin đầy đủ \nvề sản phẩm mới|21
q7.a3=Trưng Bày|18
q7.a4=Khuyến Mãi|15
q7.a5=Chất Lượng Sản \nPhẩm|13
q7.a6=Giá Cả|11

q8=Đặc điểm nổi trội của sản phẩm CC Sour Belt \nso với các loại kẹo dẻo khác là gì?
q8.a1=Hình dạng dây dài|29
q8.a2=Vị chua kết hợp vị \nngọt|23
q8.a3=Đầy màu sắc|18
q8.a4=Có thể ăn với nhiều \nkiểu khác nhau (xoắn, \nkéo,xé,cuộn,cắn...)|11
q8.a5=Kẹo dẻo đường \ncó lớp phủ đường|11
q8.a6=Sản phẩm nhập \nkhẩu từ nước ngoài|08
